<<<<<<< HEAD
200.057	1.797
203.219	4.86381
206.378	-2.93217
209.539	0.705931
212.696	2.50012
215.854	-3.15739
219.009	4.43736
222.165	-3.24997
225.318	-1.49537
228.472	1.0454
231.622	-0.278755
234.774	-1.47037
237.923	-0.542054
241.07	1.94879
244.217	3.58446
247.364	9.35709
250.508	0.744026
253.652	1.742
256.794	1.69312
259.937	-5.3966
263.077	-5.5217
266.216	-5.04935
269.354	-7.83677
272.491	-4.48291
275.626	0.0480344
278.761	1.1954
281.895	11.0589
285.027	21.092
288.159	24.055
291.287	31.2359
294.417	33.5107
297.545	35.879
300.672	36.5024
303.799	36.4878
306.922	40.4294
310.046	36.6798
313.169	31.5814
316.289	34.7514
319.41	28.53
322.528	31.1207
325.647	24.9824
328.764	17.1907
331.879	15.8477
334.993	18.8803
338.107	10.3674
341.219	10.2126
344.332	14.0373
347.441	17.0511
350.549	16.9391
353.659	15.6947
356.765	13.2114
359.87	15.2573
362.975	18.5395
366.078	19.9376
369.18	18.133
372.281	24.2768
375.383	25.5751
378.482	31.9407
381.58	42.9818
384.675	51.1749
387.771	65.6475
390.865	64.3789
393.959	79.1873
397.052	70.8979
400.144	75.2563
403.234	77.1991
406.322	67.8436
409.411	62.8295
412.498	57.806
415.583	49.6628
418.668	41.2112
421.75	36.9775
424.834	19.6271
427.916	18.5353
430.996	13.8475
434.074	15.6927
437.153	9.88066
440.229	8.83696
443.306	4.96937
446.381	5.32343
449.454	7.17258
452.526	3.25481
455.599	-1.4596
458.669	-3.36942
461.738	-2.61122
464.806	-0.21093
467.873	-0.753667
470.939	-2.93633
474.004	2.1724
477.067	-3.84821
480.13	-5.32949
483.192	-5.15428
486.253	-0.0621721
489.313	-0.0247957
492.369	3.96168
495.427	2.7218
498.484	1.96608
501.54	0.146064
504.592	-0.107512
507.646	4.62319
510.698	4.72604
513.748	1.41894
516.799	-0.04782
519.846	1.54226
522.895	-2.28798
525.94	1.5373
528.985	2.24294
532.03	1.00132
535.073	-2.92027
538.114	-3.41197
541.157	-2.63079
544.196	-2.28889
547.234	-4.1271
550.272	0.27831
553.308	0.961302
556.344	-0.520592
559.378	-1.67262
562.411	6.23001
565.444	8.15248
568.475	6.46851
571.505	-1.4766
574.535	4.02141
577.563	4.64461
580.588	3.23877
583.615	2.93984
586.64	-2.46169
589.662	-1.10322
592.686	7.21106
595.708	1.63947
598.727	1.90899
601.747	-4.32711
604.765	-3.12898
607.783	-1.88052
610.798	-1.54025
613.813	0.676732
616.828	-5.29602
619.84	-1.03275
622.851	-1.41246
625.862	2.63945
628.873	5.68108
631.881	2.94078
634.889	0.282624
637.895	0.396422
640.9	6.27218
643.904	6.36846
646.908	5.62182
649.91	8.41175
652.909	6.33946
655.91	8.0872
658.909	8.7419
661.907	6.91169
664.903	12.4494
